id;value;parent
634;36000;36
635;36511;36
636;36945;36
637;36812;36
638;36859;36
639;36458;36
640;36419;36
641;36885;36
642;36669;36
643;36840;36
644;36791;36
645;36829;36
646;36628;36
647;36428;36
648;36350;36
649;36519;36
650;36546;36
651;36853;36
652;36512;36
653;36585;36
654;36611;36
655;36691;36
656;36430;36
657;36684;36
658;36677;36
659;36865;36
660;36655;36
661;36912;36
662;36989;36
663;36340;36
664;36915;36
665;36613;36
666;36164;36
667;36861;36
668;36711;36
669;36992;36
670;36995;36
671;36192;36
672;36599;36
673;36584;36
674;36892;36
675;36794;36
676;36412;36
677;36415;36
678;36598;36
679;36510;36
680;36308;36
681;36614;36
682;36300;36
683;36729;36
684;36949;36
685;36988;36
686;36682;36
687;36140;36
688;36618;36
689;36570;36
690;36826;36
691;36683;36
692;36435;36
693;36878;36
694;36837;36
695;36158;36
696;36142;36
697;36309;36
698;36636;36
699;36749;36
700;36911;36
701;36191;36
702;36527;36
703;36580;36
704;36389;36
705;36448;36
706;36307;36
707;36659;36
708;36517;36
709;36688;36
710;36518;36
711;36154;36
712;36842;36
713;36966;36
714;36858;36
715;36525;36
716;36378;36
717;36639;36
718;36316;36
719;36524;36
720;36692;36
721;36658;36
722;36828;36
723;36930;36
724;36939;36
725;36869;36
726;36779;36
727;36634;36
728;36143;36
729;36436;36
730;36813;36
731;36370;36
732;36914;36
733;36514;36
734;36650;36
735;36820;36
736;36721;36
737;36610;36
738;36957;36
739;36770;36
740;36845;36
741;36587;36
742;36539;36
743;36630;36
744;36360;36
745;36647;36
746;36873;36
747;36110;36
748;36596;36
749;36788;36
750;36860;36
751;36940;36
752;36390;36
753;36411;36
754;36880;36
755;36969;36
756;36856;36
757;36910;36
758;36582;36
759;36627;36
760;36640;36
761;36646;36
762;36475;36
763;36416;36
764;36876;36
765;36156;36
766;36450;36
767;36938;36
768;36558;36
769;36117;36
770;36116;36
771;36789;36
772;36617;36
773;36417;36
774;36100;36
775;36817;36
776;36438;36
777;36678;36
778;36139;36
779;36447;36
780;36687;36
781;36875;36
782;36152;36
783;36579;36
784;36693;36
785;36456;36
786;36827;36
787;36993;36
788;36320;36
789;36414;36
790;36947;36
791;36967;36
792;36379;36
793;36619;36
794;36545;36
795;36457;36
796;36668;36
797;36119;36
798;36955;36
799;36150;36
800;36886;36
801;36151;36
802;36638;36
803;36633;36
804;36839;36
805;36420;36
806;36863;36
807;36590;36
808;36893;36
809;36670;36
810;36686;36
811;36649;36
812;36388;36
813;36515;36
814;36559;36
815;36760;36
816;36471;36
817;36841;36
818;36838;36
819;36547;36
820;36470;36
821;36679;36
822;36851;36
823;36730;36
824;36680;36
825;36713;36
826;36681;36
827;36537;36
828;36548;36
829;36792;36
830;36490;36
831;36583;36
832;36600;36
833;36750;36
834;36958;36
835;36550;36
836;36556;36
837;36455;36
838;36847;36
839;36866;36
840;36118;36
841;36889;36
842;36946;36
843;36615;36
844;36380;36
845;36843;36
846;36980;36
847;36780;36
848;36868;36
849;36538;36
850;36529;36
851;36626;36
852;36500;36
853;36830;36
854;36657;36
855;36544;36
856;36852;36
857;36635;36
858;36449;36
859;36459;36
860;36588;36
861;36855;36
862;36153;36
863;36887;36
864;36567;36
865;36714;36
866;36900;36
867;36920;36
868;36959;36
869;36689;36
870;36557;36
871;36877;36
872;36637;36
873;36950;36
874;36870;36
875;36890;36
876;36413;36
877;36437;36
878;36814;36
879;36440;36
880;36410;36
881;36846;36
882;36862;36
883;36864;36
884;36586;36
885;36393;36
886;36616;36
887;36472;36
888;36568;36
889;36715;36
890;36194;36
891;36884;36
892;36895;36
893;36474;36
894;36739;36
895;36163;36
896;36543;36
897;36400;36
898;36970;36
899;36492;36
900;36712;36
901;36491;36
902;36857;36
903;36818;36
904;36800;36
905;36542;36
906;36710;36
907;36493;36
908;36891;36
909;36530;36
910;36652;36
911;36581;36
912;36121;36
913;36656;36
914;36446;36
915;36654;36
916;36667;36
917;36569;36
918;36748;36
919;36676;36
920;36660;36
921;36872;36
922;36653;36
923;36960;36
924;36816;36
925;36835;36
926;36740;36
927;36494;36
928;36540;36
929;36620;36
930;36790;36
931;36560;36
932;36460;36
933;36746;36
934;36120;36
935;36597;36
936;36648;36
937;36874;36
938;36991;36
939;36811;36
940;36849;36
941;36675;36
942;36700;36
943;36883;36
944;36645;36
945;36193;36
946;36848;36
947;36747;36
948;36815;36
949;36879;36
950;36810;36
951;36836;36
952;36968;36
953;36844;36
954;27730;27
955;27164;27
956;27546;27
957;27437;27
958;27243;27
959;27511;27
960;27297;27
961;27363;27
962;27162;27
963;27773;27
964;27513;27
965;27529;27
966;27248;27
967;27205;27
968;27678;27
969;27578;27
970;27153;27
971;27143;27
972;27813;27
973;27207;27
974;27619;27
975;27843;27
976;27611;27
977;27744;27
978;27677;27
979;27776;27
980;27639;27
981;27113;27
982;27230;27
983;27233;27
984;27579;27
985;27423;27
986;27576;27
987;27662;27
988;27836;27
989;27865;27
990;27204;27
991;27229;27
992;27270;27
993;27466;27
994;27554;27
995;27163;27
996;27259;27
997;27570;27
998;27160;27
999;27235;27
1000;27568;27
1001;27714;27
1002;27689;27
1003;27818;27
1004;27577;27
1005;27379;27
1006;27142;27
1007;27150;27
1008;27279;27
1009;27518;27
1010;27748;27
1011;27294;27
1012;27693;27
1013;27649;27
1014;27832;27
1015;27515;27
1016;27115;27
1017;27460;27
1018;27687;27
1019;27166;27
1020;27168;27
1021;27558;27
1022;27516;27
1023;27519;27
1024;27527;27
1025;27157;27
1026;27419;27
1027;27391;27
1028;27257;27
1029;27371;27
1030;27417;27
1031;27232;27
1032;27178;27
1033;27569;27
1034;27130;27
1035;27631;27
1036;27817;27
1037;27246;27
1038;27367;27
1039;27680;27
1040;27612;27
1041;27421;27
1042;27616;27
1043;27656;27
1044;27341;27
1045;27845;27
1046;27127;27
1047;27790;27
1048;27124;27
1049;27520;27
1050;27412;27
1051;27146;27
1052;27112;27
1053;27258;27
1054;27210;27
1055;27531;27
1056;27640;27
1057;27305;27
1058;27373;27
1059;27514;27
1060;27814;27
1061;27556;27
1062;27191;27
1063;27289;27
1064;27329;27
1065;27792;27
1066;27206;27
1067;27686;27
1068;27617;27
1069;27377;27
1070;27296;27
1071;27722;27
1072;27864;27
1073;27122;27
1074;27425;27
1075;27555;27
1076;27340;27
1077;27372;27
1078;27140;27
1079;27277;27
1080;27867;27
1081;27331;27
1082;27286;27
1083;27135;27
1084;27528;27
1085;27779;27
1086;27422;27
1087;27880;27
1088;27306;27
1089;27328;27
1090;27203;27
1091;27868;27
1092;27651;27
1093;27798;27
1094;27374;27
1095;27177;27
1096;27834;27
1097;27287;27
1098;27648;27
1099;27777;27
1100;27299;27
1101;27182;27
1102;27559;27
1103;27440;27
1104;27634;27
1105;27849;27
1106;27415;27
1107;27335;27
1108;27892;27
1109;27272;27
1110;27208;27
1111;27110;27
1112;27228;27
1113;27550;27
1114;27217;27
1115;27695;27
1116;27658;27
1117;27664;27
1118;27888;27
1119;27190;27
1120;27185;27
1121;27152;27
1122;27610;27
1123;27438;27
1124;27530;27
1125;27213;27
1126;27250;27
1127;27260;27
1128;27188;27
1129;27635;27
1130;27334;27
1131;27332;27
1132;27120;27
1133;27824;27
1134;27671;27
1135;27711;27
1136;27692;27
1137;27151;27
1138;27863;27
1139;27614;27
1140;27666;27
1141;27342;27
1142;27891;27
1143;27618;27
1144;27169;27
1145;27500;27
1146;27418;27
1147;27245;27
1148;27411;27
1149;27544;27
1150;27392;27
1151;27532;27
1152;27596;27
1153;27273;27
1154;27825;27
1155;27181;27
1156;27728;27
1157;27685;27
1158;27131;27
1159;27690;27
1160;27376;27
1161;27815;27
1162;27749;27
1163;27628;27
1164;27548;27
1165;27861;27
1166;27125;27
1167;27679;27
1168;27278;27
1169;27116;27
1170;27215;27
1171;27375;27
1172;27133;27
1173;27796;27
1174;27822;27
1175;27424;27
1176;27676;27
1177;27667;27
1178;27271;27
1179;27269;27
1180;27439;27
1181;27547;27
1182;27345;27
1183;27390;27
1184;27234;27
1185;27540;27
1186;27450;27
1187;27324;27
1188;27738;27
1189;27789;27
1190;27770;27
1191;27211;27
1192;27430;27
1193;27283;27
1194;27615;27
1195;27336;27
1196;27647;27
1197;27325;27
1198;27187;27
1199;27346;27
1200;27145;27
1201;27659;27
1202;27100;27
1203;27698;27
1204;27636;27
1205;27768;27
1206;27780;27
1207;27186;27
1208;27155;27
1209;27344;27
1210;27624;27
1211;27134;27
1212;27220;27
1213;27637;27
1214;27638;27
1215;27123;27
1216;27657;27
1217;27378;27
1218;27840;27
1219;27821;27
1220;27293;27
1221;27890;27
1222;27183;27
1223;27154;27
1224;27300;27
1225;27416;27
1226;27469;27
1227;27623;27
1228;27280;27
1229;27320;27
1230;27347;27
1231;27837;27
1232;27737;27
1233;27307;27
1234;27811;27
1235;27878;27
1236;27774;27
1237;27309;27
1238;27348;27
1239;27339;27
1240;27226;27
1241;27117;27
1242;27632;27
1243;27866;27
1244;27816;27
1245;27512;27
1246;27778;27
1247;27216;27
1248;27688;27
1249;27742;27
1250;27413;27
1251;27266;27
1252;27627;27
1253;27760;27
1254;27751;27
1255;27835;27
1256;27673;27
1257;27625;27
1258;27626;27
1259;27672;27
1260;27247;27
1261;27000;27
1262;27111;27
1263;27850;27
1264;27308;27
1265;27349;27
1266;27276;27
1267;27844;27
1268;27209;27
1269;27549;27
1270;27282;27
1271;27290;27
1272;27240;27
1273;27517;27
1274;27557;27
1275;27533;27
1276;27275;27
1277;27144;27
1278;27833;27
1279;27655;27
1280;27826;27
1281;27740;27
1282;27400;27
1283;27879;27
1284;27128;27
1285;27560;27
1286;27876;27
1287;27592;27
1288;27268;27
1289;27364;27
1290;27184;27
1291;27665;27
1292;27820;27
1293;27510;27
1294;27652;27
1295;27368;27
1296;27192;27
1297;27743;27
1298;27244;27
1299;27650;27
1300;27696;27
1301;27468;27
1302;27212;27
1303;27613;27
1304;27675;27
1305;27414;27
1306;27812;27
1307;27317;27
1308;27893;27
1309;27713;27
1310;27775;27
1311;27156;27
1312;27668;27
1313;27333;27
1314;27256;27
1315;27136;27
1316;27670;27
1317;27200;27
1318;27663;27
1319;27380;27
1320;27410;27
1321;27389;27
1322;27595;27
1323;27318;27
1324;27129;27
1325;27697;27
1326;27420;27
1327;27710;27
1328;27362;27
1329;27330;27
1330;27360;27
1331;27470;27
1332;27720;27
1333;27877;27
1334;27170;27
1335;27132;27
1336;27227;27
1337;27660;27
1338;27370;27
1339;27633;27
1340;27725;27
1341;27726;27
1342;27793;27
1343;27794;27
1344;27747;27
1345;27359;27
1346;27766;27
1347;27700;27
1348;27594;27
1349;27545;27
1350;27310;27
1351;27654;27
1352;27661;27
1353;27715;27
1354;27691;27
1355;27274;27
1356;27795;27
1357;27841;27
1358;27141;27
1359;27369;27
1360;27889;27
1361;27350;27
1362;27338;27
1363;27842;27
1364;27620;27
1365;27786;27
1366;27388;27
1367;27118;27
1368;27787;27
1369;27791;27
1370;27810;27
1371;27785;27
1372;27161;27
1373;27745;27
1374;27830;27
1375;27752;27
1376;27750;27
1377;27600;27
1378;27165;27
1379;27241;27
1380;27590;27
1381;27126;27
1382;27214;27
1383;27653;27
1384;27180;27
1385;27823;27
1386;27298;27
1387;27366;27
1388;27593;27
1389;27591;27
1390;27646;27
1391;27765;27
1392;27267;27
1393;27630;27
1394;27343;27
1395;27231;27
1396;27860;27
1397;27869;27
1398;27721;27
1399;27114;27
1400;27543;27
1401;27699;27
1402;27767;27
1403;27797;27
1404;27800;27
1405;27712;27
1406;27729;27
1407;27727;27
1408;27724;27
1409;27788;27
1410;27694;27
1411;27870;27
1412;27723;27
1413;20300;20
1414;20303;20
1415;20305;20
1416;20301;20
1417;20304;20
1418;20302;20
1419;46700;46
1420;46701;46
1421;46702;46
1422;46730;46
1423;46703;46
1424;46728;46
1425;8220;8
1426;8228;8
1427;8225;8
1428;8224;8
1429;8223;8
1430;8227;8
1431;8221;8
1432;8226;8
1433;8222;8
1434;30007;30
1435;30009;30
1436;30012;30
1437;30008;30
1438;30011;30
1439;30006;30
1440;30005;30
1441;30002;30
1442;30001;30
1443;30010;30
1444;30004;30
1445;30100;30
1446;30003;30
1447;30570;30
1448;30070;30
1449;30071;30
1450;30080;30
1451;41700;41
1452;41701;41
1453;41702;41
1454;41703;41
1455;41089;41
1456;41704;41
1457;42070;42
1458;42071;42
1459;42080;42
1460;42005;42
1461;42002;42
1462;42004;42
1463;42003;42
1464;42001;42
1465;8910;8
1466;8917;8
1467;8916;8
1468;8915;8
1469;8913;8
1470;8912;8
1471;8914;8
1472;8918;8
1473;8911;8
1474;47009;47
1475;47013;47
1476;47011;47
1477;47008;47
1478;47012;47
1479;47153;47
1480;47010;47
1481;47004;47
1482;47152;47
1483;47005;47
1484;47001;47
1485;47003;47
1486;47006;47
1487;47007;47
1488;47017;47
1489;47002;47
1490;47014;47
1491;47016;47
1492;47070;47
1493;47071;47
1494;47080;47
1495;47015;47
1496;47197;47
1497;24891;24
1498;24397;24
1499;24145;24
1500;24996;24
1501;24357;24
1502;24413;24
1503;24877;24
1504;24859;24
1505;24277;24
1506;24133;24
1507;24569;24
1508;24521;24
1509;24310;24
1510;24293;24
1511;24768;24
1512;24649;24
